Model Name,Query Number,Query,Model Result,Ranking
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Lokanta 1741,1
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Quartopiano Suite Restaurant,2
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Atölye,3
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Bedem,4
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Mater Terrae,5
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Khorasani,6
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Rebekah's,7
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Matbah,8
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Villa Kabala,9
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Aheste,10
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Aheste,1
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Atölye,2
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Rebekah's,3
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Quartopiano Suite Restaurant,4
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Nicole,5
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Iva New Balkan Cuisine,6
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Lokanta 1741,7
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Zigante,8
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Yeni Lokanta,9
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Monte,10
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Aheste,1
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Mater Terrae,2
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Glass Hostaria,3
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,79 °,4
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,OPUS,5
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Rebekah's,6
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Atölye,7
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,TIAN,8
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Gambero Rosso,9
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Bij Brons,10
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Aheste,1
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Yeni Lokanta,2
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Şans,3
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Nicole,4
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Turk Fatih Tutak,5
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Lokanta 1741,6
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Aila,7
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Mikla,8
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Atölye,9
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Tugra,10
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Aheste,1
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Yeni Lokanta,2
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Turk Fatih Tutak,3
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,TIAN,4
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Mikla,5
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Aila,6
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Lokanta 1741,7
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Mater Terrae,8
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Beyti,9
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Tugra,10
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Lokanta 1741,1
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Quartopiano Suite Restaurant,2
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Mikla,3
